"","CCO","Involvment","Relations","srv_CCO","srv_HCC","srv_Parish_ministry","Total_cgs","Total_dsc","Total_frm"
"1",0,"Casual","3 to 6",0,0,1,3,7,4
"2",0,"Casual","3 to 6",0,0,0,3,3,1
"3",1,"Casual","3 to 6",1,0,1,4,9,0
"4",1,"Casual","3 to 6",0,0,0,4,5,0
"5",1,"Committed","3 to 6",0,1,1,6,9,3
"6",1,"Engaged","More than 10",1,0,1,5,5,1
"7",1,"Committed","1 or 2",0,1,0,4,4,3
"8",1,"Committed","7 to 10",1,1,0,4,9,4
"9",1,"Engaged","More than 10",0,0,0,1,5,0
"10",0,"Committed","7 to 10",0,1,1,1,10,6
"11",1,"Committed","More than 10",1,1,1,3,10,3
"12",0,"Casual","3 to 6",0,0,0,3,6,1
"13",1,"Engaged","More than 10",1,0,0,4,4,2
"14",1,"Engaged","3 to 6",1,0,0,4,6,2
"15",1,"Engaged","3 to 6",1,0,1,5,10,2
"16",1,"Committed","7 to 10",1,1,1,4,10,3
"17",1,"Committed","More than 10",0,1,1,6,12,6
"18",1,"Engaged","7 to 10",1,0,0,5,6,3
"19",1,"Committed","7 to 10",1,0,1,7,11,4
"20",1,"Engaged","7 to 10",0,0,1,5,4,3
"21",1,"Engaged","1 or 2",0,0,0,6,5,3
"22",1,"Committed","7 to 10",1,0,0,4,9,4
"23",0,"Engaged","1 or 2",0,0,1,1,4,1
"24",1,"Engaged","7 to 10",1,0,1,5,10,5
"25",0,"Casual","More than 10",0,0,0,1,1,1
"26",1,"Engaged","3 to 6",0,0,0,3,1,1
"27",1,"Engaged","More than 10",0,0,0,6,5,1
"28",1,"Casual","1 or 2",0,0,0,2,5,1
"29",1,"Committed","7 to 10",1,1,1,5,10,5
"30",1,"Casual","More than 10",0,0,0,1,5,4
"31",1,"Engaged","3 to 6",1,0,0,3,9,3
"32",1,"Engaged","7 to 10",1,0,0,4,3,4
"33",1,"Casual","1 or 2",0,0,0,4,7,1
"34",1,"Engaged","1 or 2",1,0,0,3,5,0
"35",0,"Casual","3 to 6",0,0,0,1,1,1
"36",1,"Engaged","More than 10",1,0,1,4,11,3
"37",0,"Engaged","More than 10",0,0,1,4,11,4
"38",1,"Engaged","3 to 6",1,0,1,6,6,2
"39",1,"Engaged","More than 10",1,0,1,4,12,4
"40",0,"Engaged","3 to 6",0,1,1,5,12,4
"41",1,"Engaged","More than 10",0,0,0,3,5,2
"42",1,"Casual","1 or 2",0,0,1,4,7,0
"43",1,"Engaged","7 to 10",1,0,0,4,9,4
"44",0,"Casual","3 to 6",0,0,1,2,4,1
"45",0,"Casual","3 to 6",0,0,0,1,1,1
"46",1,"Engaged","7 to 10",0,0,0,3,5,1
